Report Number,Date Reported,City,crime_type,Victim Age,Victim Gender,Weapon Used,latitude,longitude,zone_type,crowd_density,severity_score,source,hour,is_night,day_of_week,safety_score,is_safe_route
RPT000020,2024-05-09 21:00:00,Delhi,Snatching,63,Female,Poison,28.567598,77.183352,Market,33,2,official_fir,21,1,6,5.33,0
RPT000021,2024-02-29 23:00:00,Mumbai,Harassment,57,Other,Blunt Object,19.018851,72.921322,Industrial,35,3,news_report,23,1,4,5.12,0
RPT000022,2024-06-18 21:00:00,Mumbai,Harassment,24,Female,None,19.048203,72.871313,Market,60,1,news_report,21,1,1,6.79,1
RPT000023,2024-04-03 12:00:00,Hyderabad,Theft,17,Male,Sharp Object,17.414782,78.504421,Park,14,4,news_report,12,0,3,2.18,0
RPT000024,2024-05-08 20:00:00,Bengaluru,Theft,39,Other,Blunt Object,13.039772,77.636038,Residential,67,2,crowdsourced,20,1,5,5.43,0
RPT000025,2024-04-02 04:00:00,Mumbai,Burglary,57,Male,Sharp Object,19.119288,72.871926,Commercial,10,5,official_fir,4,1,5,2.73,0
RPT000026,2024-06-24 13:00:00,Bengaluru,Theft,66,Male,None,12.935063,77.530604,Park,78,1,news_report,13,0,5,7.78,1
RPT000027,2024-05-17 19:00:00,Chennai,Burglary,32,Female,None,13.1763,80.205953,Market,78,4,news_report,19,0,6,4.31,0
RPT000028,2024-06-19 02:00:00,Mumbai,Theft,13,Other,None,19.076091,72.915497,Slum,41,3,news_report,2,1,3,4.22,0
RPT000029,2024-02-04 18:00:00,Chennai,Assault,52,Male,Blunt Object,13.069152,80.327551,Park,55,2,crowdsourced,18,0,1,6.5,1
RPT000030,2024-01-21 12:00:00,Delhi,Assault,43,Other,Blunt Object,28.556124,77.287506,Park,67,5,news_report,12,0,2,2.69,0
RPT000031,2024-02-06 06:00:00,Chennai,Snatching,33,Other,Blunt Object,13.111766,80.22925,Residential,45,2,crowdsourced,6,0,6,5.59,0
RPT000032,2024-05-07 12:00:00,Kolkata,Snatching,39,Male,Blunt Object,22.650243,88.341924,Market,93,1,news_report,12,0,2,7.26,1
RPT000033,2024-05-30 03:00:00,Kolkata,Theft,78,Other,Sharp Object,22.566374,88.459516,Slum,61,3,crowdsourced,3,1,4,3.86,0
RPT000034,2024-06-26 06:00:00,Delhi,Molestation,18,Female,None,28.704583,77.229229,Park,26,5,news_report,6,0,5,3.31,0
RPT000035,2024-02-14 06:00:00,Bengaluru,Theft,47,Other,Sharp Object,12.981791,77.571048,Commercial,74,4,crowdsourced,6,0,0,3.69,0
RPT000036,2024-05-05 06:00:00,Kolkata,Harassment,70,Female,Poison,22.638925,88.31618,Residential,83,2,official_fir,6,0,5,5.47,0
RPT000037,2024-02-25 16:00:00,Mumbai,Snatching,48,Male,Poison,19.075772,72.920297,Commercial,71,1,official_fir,16,0,0,7.86,1
RPT000038,2024-04-26 08:00:00,Delhi,Theft,45,Other,Poison,28.625105,77.20963,Park,66,2,official_fir,8,0,0,5.51,0
RPT000039,2024-04-01 07:00:00,Hyderabad,Snatching,21,Female,Sharp Object,17.477998,78.530316,Market,85,4,crowdsourced,7,0,1,3.53,0
RPT000040,2024-06-05 16:00:00,Kolkata,Assault,37,Male,Blunt Object,22.466405,88.337612,Park,73,3,news_report,16,0,0,5.62,0
RPT000041,2024-03-25 16:00:00,Chennai,Burglary,14,Other,Sharp Object,13.053855,80.204688,Slum,74,2,official_fir,16,0,2,6.69,1
RPT000042,2024-02-22 05:00:00,Mumbai,Harassment,58,Male,Blunt Object,19.093046,72.873379,Industrial,10,5,official_fir,5,1,3,1.91,0
RPT000043,2024-04-01 07:00:00,Chennai,Theft,10,Other,Blunt Object,13.085049,80.238486,Commercial,13,1,crowdsourced,7,0,1,9.03,1
RPT000044,2024-06-27 16:00:00,Mumbai,Harassment,59,Male,None,18.902092,72.864287,Park,14,3,crowdsourced,16,0,6,7.75,1
RPT000045,2024-03-19 05:00:00,Hyderabad,Assault,39,Other,Poison,17.428891,78.496856,Residential,72,2,crowdsourced,5,1,0,4.93,0
RPT000046,2024-05-05 16:00:00,Kolkata,Snatching,14,Male,Sharp Object,22.583604,88.269706,Industrial,65,1,news_report,16,0,3,5.63,0
RPT000047,2024-06-03 02:00:00,Bengaluru,Snatching,32,Other,Sharp Object,13.031896,77.503635,Residential,25,4,crowdsourced,2,1,2,3.86,0
RPT000048,2024-03-30 20:00:00,Chennai,Harassment,28,Male,Blunt Object,13.086502,80.288348,Industrial,51,5,news_report,20,1,5,1.38,0
RPT000049,2024-04-16 14:00:00,Hyderabad,Theft,36,Male,None,17.333238,78.489574,Slum,56,1,news_report,14,0,5,4.96,0
RPT000050,2024-04-20 13:00:00,Chennai,Molestation,56,Other,Sharp Object,13.091775,80.231938,Market,23,2,official_fir,13,0,1,7.22,1
RPT000051,2024-03-26 16:00:00,Hyderabad,Harassment,24,Male,Poison,17.335603,78.46879,Commercial,37,2,official_fir,16,0,6,7.13,1
RPT000052,2024-03-23 21:00:00,Mumbai,Theft,34,Female,Poison,18.997975,72.888034,Slum,27,4,official_fir,21,1,1,4.01,0
RPT000053,2024-05-29 00:00:00,Mumbai,Assault,73,Female,Poison,19.145545,72.833919,Residential,79,5,crowdsourced,0,1,4,0.0,0
RPT000054,2024-01-04 07:00:00,Chennai,Molestation,71,Female,None,13.059795,80.2394,Slum,12,3,official_fir,7,0,4,5.67,0
RPT000055,2024-02-13 18:00:00,Hyderabad,Burglary,60,Female,Blunt Object,17.380755,78.48626,Industrial,88,3,news_report,18,0,4,4.97,0
RPT000056,2024-06-09 10:00:00,Chennai,Harassment,29,Male,Sharp Object,13.054472,80.220598,Slum,99,5,news_report,10,0,6,3.79,0
RPT000057,2024-01-17 04:00:00,Hyderabad,Assault,53,Female,Blunt Object,17.30445,78.443679,Industrial,93,1,official_fir,4,1,0,5.49,0
RPT000058,2024-03-04 08:00:00,Delhi,Harassment,58,Male,None,28.577733,77.330692,Park,59,5,official_fir,8,0,1,3.9,0
RPT000059,2024-03-02 13:00:00,Chennai,Burglary,69,Female,Poison,13.161707,80.28758,Commercial,46,5,official_fir,13,0,1,2.13,0
RPT000060,2024-06-01 05:00:00,Kolkata,Assault,49,Other,Sharp Object,22.613612,88.278536,Market,41,3,crowdsourced,5,1,0,4.01,0
RPT000061,2024-01-15 18:00:00,Delhi,Burglary,62,Other,Poison,28.697722,77.197041,Residential,79,3,official_fir,18,0,1,5.43,0
RPT000062,2024-03-14 03:00:00,Chennai,Harassment,45,Male,None,13.167991,80.269083,Slum,36,1,news_report,3,1,5,6.39,1
RPT000063,2024-04-04 01:00:00,Delhi,Molestation,61,Other,Blunt Object,28.705947,77.213352,Commercial,38,4,crowdsourced,1,1,2,1.87,0
RPT000064,2024-04-13 10:00:00,Bengaluru,Harassment,36,Male,Sharp Object,12.992272,77.68844,Residential,83,2,news_report,10,0,3,5.5,0
RPT000065,2024-01-29 21:00:00,Kolkata,Molestation,14,Male,Sharp Object,22.550607,88.320124,Industrial,40,2,crowdsourced,21,1,2,5.4,0
RPT000066,2024-06-28 20:00:00,Hyderabad,Theft,45,Female,Poison,17.33552,78.480411,Slum,10,3,official_fir,20,1,6,3.14,0
RPT000067,2024-04-17 10:00:00,Delhi,Harassment,47,Female,Poison,28.592556,77.251612,Industrial,43,3,crowdsourced,10,0,2,2.65,0
RPT000068,2024-02-18 10:00:00,Bengaluru,Molestation,79,Male,Sharp Object,12.959313,77.580964,Slum,58,5,official_fir,10,0,5,0.75,0
RPT000069,2024-03-02 23:00:00,Delhi,Theft,58,Other,Blunt Object,28.581145,77.169044,Commercial,96,3,official_fir,23,1,2,3.28,0
RPT000070,2024-05-08 17:00:00,Hyderabad,Assault,10,Female,Poison,17.513496,78.431345,Industrial,75,4,crowdsourced,17,0,5,2.27,0
RPT000071,2024-02-26 07:00:00,Chennai,Assault,43,Male,Poison,13.092885,80.276187,Park,41,2,official_fir,7,0,0,6.01,1
RPT000072,2024-05-23 14:00:00,Bengaluru,Theft,63,Male,Poison,13.007684,77.538147,Commercial,76,3,crowdsourced,14,0,1,5.89,0
RPT000073,2024-05-26 15:00:00,Kolkata,Assault,16,Female,Poison,22.593616,88.279237,Slum,32,5,official_fir,15,0,4,0.78,0
RPT000074,2024-05-16 22:00:00,Kolkata,Snatching,56,Male,Sharp Object,22.640969,88.411813,Residential,11,3,official_fir,22,1,3,3.81,0
RPT000075,2024-01-14 18:00:00,Mumbai,Assault,33,Male,None,19.126784,72.859351,Market,68,1,news_report,18,0,0,8.59,1
RPT000076,2024-01-17 12:00:00,Delhi,Snatching,31,Other,None,28.721662,77.242613,Park,35,2,crowdsourced,12,0,1,5.62,0
RPT000077,2024-05-17 20:00:00,Chennai,Theft,36,Male,Poison,13.110293,80.322158,Market,49,2,crowdsourced,20,1,6,5.58,0
RPT000078,2024-02-09 03:00:00,Chennai,Burglary,55,Female,Sharp Object,13.066537,80.327853,Market,74,3,crowdsourced,3,1,2,3.05,0
RPT000079,2024-05-27 03:00:00,Bengaluru,Harassment,63,Female,Poison,12.901267,77.661666,Market,31,5,crowdsourced,3,1,6,0.81,0
RPT000080,2024-04-17 10:00:00,Bengaluru,Burglary,35,Female,Blunt Object,12.942818,77.6007,Slum,82,1,crowdsourced,10,0,1,5.18,0
RPT000081,2024-03-20 11:00:00,Kolkata,Harassment,58,Male,Blunt Object,22.568811,88.348511,Industrial,66,1,official_fir,11,0,5,6.48,1
RPT000082,2024-01-16 08:00:00,Bengaluru,Theft,79,Male,None,13.012435,77.625533,Slum,21,3,news_report,8,0,4,4.88,0
RPT000083,2024-02-28 15:00:00,Delhi,Assault,16,Female,Poison,28.619684,77.222579,Commercial,16,1,official_fir,15,0,1,6.36,1
RPT000084,2024-04-17 01:00:00,Chennai,Harassment,27,Other,None,13.139153,80.266679,Slum,23,3,crowdsourced,1,1,2,3.13,0
RPT000085,2024-01-13 01:00:00,Delhi,Theft,42,Male,None,28.677796,77.31112,Park,75,3,news_report,1,1,5,5.14,0
RPT000086,2024-04-30 20:00:00,Chennai,Harassment,48,Female,Sharp Object,13.114745,80.262104,Commercial,71,1,crowdsourced,20,1,3,7.01,1
RPT000087,2024-03-08 23:00:00,Mumbai,Molestation,14,Male,None,19.091693,72.864384,Slum,12,5,news_report,23,1,5,1.22,0
RPT000088,2024-06-01 05:00:00,Mumbai,Molestation,21,Other,None,18.979316,72.81733,Commercial,70,5,official_fir,5,1,6,4.61,0
RPT000089,2024-01-03 08:00:00,Kolkata,Theft,72,Female,Blunt Object,22.539405,88.356441,Residential,83,3,news_report,8,0,0,3.91,0
RPT000090,2024-01-03 02:00:00,Hyderabad,Snatching,18,Other,Sharp Object,17.410764,78.546409,Industrial,70,3,news_report,2,1,1,3.87,0
RPT000091,2024-06-01 08:00:00,Bengaluru,Snatching,77,Female,Blunt Object,12.971449,77.559339,Industrial,20,1,official_fir,8,0,2,6.9,1
RPT000092,2024-02-06 05:00:00,Mumbai,Snatching,14,Other,Poison,19.090293,72.894423,Industrial,97,4,official_fir,5,1,2,2.2,0
RPT000093,2024-01-06 12:00:00,Kolkata,Harassment,67,Other,Sharp Object,22.662328,88.366064,Industrial,49,3,crowdsourced,12,0,0,5.94,0
RPT000094,2024-01-07 09:00:00,Bengaluru,Harassment,68,Male,Blunt Object,12.952685,77.621939,Residential,54,1,crowdsourced,9,0,3,8.64,1
RPT000095,2024-01-13 11:00:00,Chennai,Burglary,48,Other,None,13.115135,80.252184,Park,11,5,crowdsourced,11,0,6,3.06,0
RPT000096,2024-02-06 01:00:00,Hyderabad,Assault,69,Male,Poison,17.417627,78.392073,Market,92,2,crowdsourced,1,1,6,3.49,0
RPT000097,2024-01-22 21:00:00,Chennai,Molestation,77,Other,Sharp Object,13.062755,80.242923,Slum,21,1,news_report,21,1,0,6.08,1
RPT000098,2024-01-04 22:00:00,Mumbai,Molestation,16,Male,Poison,19.17702,72.840706,Slum,15,3,official_fir,22,1,1,3.14,0
RPT000099,2024-05-05 02:00:00,Delhi,Harassment,41,Female,Poison,28.552653,77.273933,Market,93,3,official_fir,2,1,0,3.58,0
RPT000100,2024-01-27 23:00:00,Kolkata,Assault,47,Other,None,22.480261,88.335567,Commercial,44,1,crowdsourced,23,1,3,6.2,1
RPT000101,2024-06-20 02:00:00,Kolkata,Theft,17,Other,Poison,22.700803,88.377383,Market,59,4,official_fir,2,1,4,2.38,0
RPT000102,2024-03-12 21:00:00,Chennai,Burglary,26,Female,Sharp Object,13.074619,80.203636,Park,18,1,official_fir,21,1,5,7.51,1
RPT000103,2024-06-27 08:00:00,Bengaluru,Assault,47,Other,Blunt Object,12.88571,77.692741,Slum,42,4,news_report,8,0,2,2.39,0
RPT000104,2024-06-14 08:00:00,Delhi,Burglary,29,Male,None,28.61372,77.151082,Industrial,11,1,crowdsourced,8,0,4,7.3,1
RPT000105,2024-01-06 05:00:00,Mumbai,Assault,53,Male,Sharp Object,19.020634,72.927144,Residential,70,3,official_fir,5,1,0,4.32,0
RPT000106,2024-02-27 06:00:00,Delhi,Assault,17,Female,Sharp Object,28.616882,77.176653,Market,93,3,official_fir,6,0,2,4.58,0
RPT000107,2024-01-25 11:00:00,Hyderabad,Snatching,69,Female,None,17.432507,78.590463,Residential,91,4,official_fir,11,0,4,3.6,0
RPT000108,2024-02-25 05:00:00,Chennai,Burglary,54,Male,Poison,13.004821,80.323418,Commercial,64,3,news_report,5,1,1,2.45,0
RPT000109,2024-04-03 11:00:00,Delhi,Harassment,44,Male,Blunt Object,28.673822,77.166831,Market,72,1,official_fir,11,0,0,7.07,1
RPT000110,2024-03-06 18:00:00,Chennai,Molestation,46,Female,Sharp Object,13.129344,80.314358,Park,33,2,crowdsourced,18,0,0,7.95,1
RPT000111,2024-05-22 07:00:00,Mumbai,Harassment,67,Female,Blunt Object,19.053056,72.907689,Park,12,5,news_report,7,0,4,4.01,0
RPT000112,2024-04-20 12:00:00,Delhi,Burglary,51,Female,None,28.633981,77.174719,Industrial,46,5,news_report,12,0,0,4.08,0
RPT000113,2024-06-16 04:00:00,Hyderabad,Assault,79,Male,Poison,17.366469,78.374979,Slum,37,2,official_fir,4,1,4,4.47,0
RPT000114,2024-02-26 04:00:00,Kolkata,Harassment,23,Female,Blunt Object,22.494805,88.35028,Industrial,85,1,crowdsourced,4,1,3,6.54,1
RPT000115,2024-04-17 14:00:00,Hyderabad,Theft,58,Male,Sharp Object,17.390758,78.529054,Park,65,4,official_fir,14,0,5,4.77,0
RPT000116,2024-01-20 04:00:00,Bengaluru,Assault,46,Female,Blunt Object,12.955256,77.567053,Slum,44,5,crowdsourced,4,1,0,0.0,0
RPT000117,2024-05-07 19:00:00,Chennai,Burglary,59,Male,Blunt Object,13.083165,80.369283,Residential,59,4,news_report,19,0,6,3.4,0
RPT000118,2024-02-24 04:00:00,Hyderabad,Assault,17,Female,Blunt Object,17.440409,78.434705,Slum,17,5,news_report,4,1,6,1.38,0
RPT000119,2024-02-02 13:00:00,Mumbai,Assault,26,Female,Sharp Object,19.030142,72.872558,Slum,85,3,crowdsourced,13,0,3,3.52,0
RPT000120,2024-03-29 17:00:00,Delhi,Theft,57,Male,Blunt Object,28.645837,77.15185,Industrial,71,4,news_report,17,0,5,4.29,0
RPT000121,2024-05-20 01:00:00,Chennai,Snatching,77,Female,Blunt Object,13.062784,80.28773,Market,13,3,news_report,1,1,1,5.71,0
RPT000122,2024-06-09 06:00:00,Delhi,Snatching,63,Other,Blunt Object,28.653395,77.189429,Commercial,24,1,news_report,6,0,6,6.67,1
RPT000123,2024-01-03 13:00:00,Delhi,Burglary,20,Other,Sharp Object,28.691528,77.101439,Market,87,2,news_report,13,0,0,7.5,1
RPT000124,2024-02-12 01:00:00,Chennai,Burglary,37,Male,Blunt Object,13.085657,80.327006,Industrial,34,4,crowdsourced,1,1,4,2.71,0
RPT000125,2024-03-08 18:00:00,Hyderabad,Harassment,30,Other,Poison,17.303285,78.529445,Commercial,24,1,official_fir,18,0,6,8.54,1
RPT000126,2024-06-25 02:00:00,Chennai,Burglary,77,Male,Sharp Object,13.012824,80.265938,Market,36,5,official_fir,2,1,1,3.15,0
RPT000127,2024-02-25 06:00:00,Chennai,Harassment,16,Other,Sharp Object,13.121354,80.221576,Industrial,48,5,official_fir,6,0,6,2.3,0
RPT000128,2024-04-27 09:00:00,Delhi,Molestation,77,Female,Poison,28.53425,77.231024,Market,10,4,crowdsourced,9,0,6,4.22,0
RPT000129,2024-02-19 04:00:00,Chennai,Snatching,24,Female,Sharp Object,13.109865,80.256503,Industrial,51,1,news_report,4,1,3,6.69,1
RPT000130,2024-04-28 14:00:00,Bengaluru,Snatching,27,Other,Sharp Object,12.993378,77.639213,Industrial,64,2,crowdsourced,14,0,0,6.59,1
RPT000131,2024-03-25 02:00:00,Chennai,Harassment,19,Male,None,13.10339,80.331929,Commercial,66,1,news_report,2,1,6,8.76,1
RPT000132,2024-06-12 12:00:00,Mumbai,Snatching,33,Female,Poison,19.004219,72.782045,Park,99,2,official_fir,12,0,5,6.42,1
RPT000133,2024-01-27 04:00:00,Bengaluru,Burglary,50,Other,Sharp Object,12.906101,77.510238,Commercial,58,4,news_report,4,1,3,1.37,0
RPT000134,2024-05-29 11:00:00,Chennai,Harassment,53,Male,None,13.114265,80.192869,Residential,95,2,official_fir,11,0,1,4.7,0
RPT000135,2024-01-23 15:00:00,Kolkata,Assault,71,Female,Blunt Object,22.541154,88.429461,Park,26,4,official_fir,15,0,5,4.63,0
RPT000136,2024-05-21 00:00:00,Kolkata,Snatching,39,Male,Sharp Object,22.615866,88.402105,Market,31,2,official_fir,0,1,4,5.79,0
RPT000137,2024-05-30 19:00:00,Kolkata,Assault,11,Other,Blunt Object,22.60172,88.31037,Slum,74,3,official_fir,19,0,5,2.77,0
RPT000138,2024-06-21 11:00:00,Mumbai,Harassment,31,Other,Poison,19.095429,73.00235,Market,69,5,news_report,11,0,6,3.2,0
RPT000139,2024-03-06 20:00:00,Bengaluru,Burglary,15,Other,Sharp Object,12.856901,77.613253,Park,23,1,official_fir,20,1,2,8.57,1
RPT000140,2024-05-04 13:00:00,Bengaluru,Molestation,19,Male,None,12.919771,77.660253,Slum,63,1,official_fir,13,0,0,8.56,1
RPT000141,2024-01-12 03:00:00,Kolkata,Snatching,22,Male,None,22.600491,88.237614,Commercial,77,1,official_fir,3,1,4,7.09,1
RPT000142,2024-01-11 18:00:00,Kolkata,Assault,69,Other,None,22.575824,88.265127,Commercial,52,2,official_fir,18,0,6,6.39,1
RPT000143,2024-04-06 15:00:00,Mumbai,Snatching,18,Other,Blunt Object,19.072867,72.885133,Slum,37,3,official_fir,15,0,3,3.69,0
RPT000144,2024-01-07 04:00:00,Kolkata,Theft,61,Male,Sharp Object,22.508882,88.395204,Park,47,2,official_fir,4,1,3,6.84,1
RPT000145,2024-03-19 21:00:00,Bengaluru,Theft,14,Female,Poison,12.918631,77.65499,Industrial,71,3,crowdsourced,21,1,5,3.37,0
RPT000146,2024-05-18 04:00:00,Chennai,Theft,74,Male,Blunt Object,13.055388,80.29029,Industrial,94,5,news_report,4,1,4,0.94,0
RPT000147,2024-01-17 16:00:00,Chennai,Molestation,61,Male,None,13.060942,80.211047,Industrial,30,2,crowdsourced,16,0,0,7.26,1
RPT000148,2024-03-28 07:00:00,Delhi,Assault,67,Male,Sharp Object,28.60401,77.190012,Residential,43,3,news_report,7,0,0,4.33,0
RPT000149,2024-05-31 12:00:00,Chennai,Snatching,17,Male,Sharp Object,13.09112,80.293699,Slum,96,3,crowdsourced,12,0,2,2.76,0
RPT000150,2024-03-04 04:00:00,Bengaluru,Burglary,20,Other,Poison,12.931475,77.659541,Residential,37,3,official_fir,4,1,4,5.22,0
RPT000151,2024-04-23 22:00:00,Mumbai,Assault,59,Other,Blunt Object,19.111948,72.908057,Park,77,1,crowdsourced,22,1,5,7.34,1
RPT000152,2024-02-28 16:00:00,Mumbai,Assault,22,Male,Sharp Object,19.043824,72.924092,Park,20,2,official_fir,16,0,1,5.81,0
RPT000153,2024-02-01 02:00:00,Hyderabad,Burglary,39,Male,Sharp Object,17.320935,78.58951,Residential,55,1,crowdsourced,2,1,1,5.15,0
RPT000154,2024-01-27 21:00:00,Hyderabad,Theft,30,Female,Sharp Object,17.376644,78.500829,Market,16,4,official_fir,21,1,5,3.44,0
RPT000155,2024-01-23 21:00:00,Mumbai,Molestation,31,Other,Blunt Object,19.043432,72.879224,Commercial,65,3,official_fir,21,1,2,2.26,0
RPT000156,2024-01-10 03:00:00,Chennai,Snatching,17,Female,None,13.090833,80.227885,Slum,14,3,crowdsourced,3,1,2,5.55,0
RPT000157,2024-02-27 09:00:00,Chennai,Harassment,75,Male,Sharp Object,13.061559,80.306692,Commercial,18,4,news_report,9,0,1,5.47,0
RPT000158,2024-01-24 03:00:00,Hyderabad,Molestation,25,Other,Poison,17.42635,78.52659,Market,65,3,crowdsourced,3,1,6,5.48,0
RPT000159,2024-01-17 12:00:00,Hyderabad,Theft,63,Other,Blunt Object,17.365018,78.401758,Industrial,47,4,crowdsourced,12,0,3,5.19,0
RPT000160,2024-02-18 17:00:00,Kolkata,Theft,67,Other,Sharp Object,22.662208,88.367955,Park,33,2,news_report,17,0,2,7.05,1
RPT000161,2024-04-03 15:00:00,Hyderabad,Molestation,39,Female,None,17.357441,78.509455,Commercial,40,4,official_fir,15,0,4,3.98,0
RPT000162,2024-05-22 05:00:00,Delhi,Molestation,56,Other,Blunt Object,28.571737,77.202238,Park,54,1,crowdsourced,5,1,3,4.93,0
RPT000163,2024-05-26 12:00:00,Hyderabad,Assault,59,Other,Blunt Object,17.384209,78.501889,Residential,79,1,official_fir,12,0,2,5.63,0
RPT000164,2024-02-08 03:00:00,Mumbai,Theft,73,Male,Sharp Object,19.055429,72.904137,Slum,30,2,crowdsourced,3,1,5,3.81,0
RPT000165,2024-02-05 19:00:00,Mumbai,Molestation,79,Male,None,19.083092,72.882695,Market,69,4,crowdsourced,19,0,0,4.66,0
RPT000166,2024-04-16 12:00:00,Chennai,Harassment,64,Female,Sharp Object,13.033881,80.226077,Industrial,89,2,crowdsourced,12,0,5,5.69,0
RPT000167,2024-06-24 19:00:00,Kolkata,Theft,77,Female,Blunt Object,22.535239,88.416553,Residential,16,2,official_fir,19,0,6,8.47,1
RPT000168,2024-04-24 22:00:00,Chennai,Burglary,66,Male,None,13.077223,80.240499,Commercial,91,5,official_fir,22,1,1,1.53,0
RPT000169,2024-06-15 10:00:00,Delhi,Snatching,42,Male,Sharp Object,28.560698,77.178633,Commercial,70,2,news_report,10,0,0,7.53,1
RPT000170,2024-04-21 21:00:00,Hyderabad,Burglary,79,Female,Blunt Object,17.493687,78.533716,Industrial,94,5,news_report,21,1,0,0.61,0
RPT000171,2024-01-21 16:00:00,Bengaluru,Burglary,69,Other,None,13.0721,77.625558,Residential,73,3,official_fir,16,0,6,7.73,1
RPT000172,2024-03-06 08:00:00,Kolkata,Molestation,24,Male,Poison,22.651739,88.377634,Market,23,3,crowdsourced,8,0,1,5.54,0
RPT000173,2024-05-26 17:00:00,Delhi,Molestation,51,Other,None,28.693302,77.195577,Park,32,1,official_fir,17,0,2,7.78,1
RPT000174,2024-05-10 19:00:00,Chennai,Molestation,50,Male,Blunt Object,12.991162,80.280733,Slum,56,2,news_report,19,0,5,4.4,0
RPT000175,2024-04-19 04:00:00,Chennai,Burglary,42,Male,Poison,13.134198,80.257423,Commercial,41,4,official_fir,4,1,3,3.27,0
RPT000176,2024-05-07 03:00:00,Hyderabad,Snatching,72,Male,Poison,17.342033,78.543819,Commercial,30,5,news_report,3,1,3,1.51,0
RPT000177,2024-06-26 08:00:00,Bengaluru,Molestation,34,Female,None,13.020886,77.564429,Market,14,3,crowdsourced,8,0,3,6.54,1
RPT000178,2024-01-21 21:00:00,Hyderabad,Harassment,75,Other,Sharp Object,17.334673,78.543694,Park,82,5,news_report,21,1,2,1.25,0
RPT000179,2024-01-17 15:00:00,Kolkata,Snatching,60,Other,None,22.624701,88.335636,Industrial,84,1,official_fir,15,0,5,7.55,1
RPT000180,2024-05-27 02:00:00,Chennai,Harassment,44,Male,Sharp Object,13.104167,80.289822,Commercial,25,2,news_report,2,1,3,4.43,0
RPT000181,2024-05-21 13:00:00,Kolkata,Assault,34,Other,None,22.597791,88.352687,Commercial,66,5,crowdsourced,13,0,3,2.75,0
RPT000182,2024-03-18 07:00:00,Kolkata,Harassment,15,Other,Poison,22.590132,88.388359,Residential,55,4,crowdsourced,7,0,5,3.9,0
RPT000183,2024-05-10 13:00:00,Bengaluru,Burglary,35,Female,Poison,12.968428,77.567834,Market,57,1,official_fir,13,0,2,7.14,1
